model,r2_score,mae,rmse
Random Forest,0.8207597898015471,22.81502368854671,33.19410733041399
Extra Trees,0.8152944645010287,23.430699456713793,33.69637845326274
AdaBoost,0.8013679437065309,25.112216628525555,34.94362378256031
XGBoost,0.7997285612710918,24.561259758819833,35.087528671178355
Gradient Boosting,0.7985711198594755,24.375944087778493,35.18877438648019
SVR,0.7621644046778464,26.967429600678265,38.23681398084633
KNN,0.7600432152574746,27.288043141154745,38.40694722625037
