model,r2_score,mae,rmse
Random Forest,0.8225787918647888,22.732976698500952,33.02524420958347
Extra Trees,0.8167518867012192,23.442930889132807,33.56317424388706
AdaBoost,0.8020459423259054,25.068458772893,34.88393558147614
Gradient Boosting,0.7998635945727213,24.363827192330454,35.075697768603895
XGBoost,0.7997285612710918,24.561259758819833,35.087528671178355
SVR,0.7621644046778455,26.967429600678347,38.2368139808464
KNN,0.7600432152574746,27.28804314115475,38.40694722625037
